id,nombre,ini,fin,alumno_id,vip,obs,forma_id,canceled,school_id,person_name,created_at,updated_at
50001,SEM,2008-02-01,2008-07-31,50009,false,"",,,1,,,
50002,ANU,2007-06-01,2008-06-30,50018,false,"",50002,,1,,,
50003, ANU,2007-11-01,2008-10-31,50042,false,"",,,1,,,
50004,ANU,2008-01-01,2008-12-31,50077,false,"",,,1,,,
50005,ANU,2008-01-01,2008-12-31,50080,false,"",,,1,,,
50006,SEM,2007-11-01,2008-03-31,50081,false,"",,,1,,,
50007,ANU,2007-07-01,2008-06-30,50090,true,vip solo junio y medio mayo,50001,,1,,,
50008,ANU,2007-12-01,2008-11-30,50091,false,"",,,1,,,
50009,ANU,2007-09-01,2008-08-30,50096,false,"",50001,,1,,,
50010,ANU,2007-12-01,2008-11-30,50003,false,"",,,1,,,
50011,anual,2007-06-01,2008-05-31,50004,false,"",50005,,1,,,
50012,ANU,2007-06-01,2008-05-31,50007,false,"",,,1,,,
50013,ANU,2008-01-01,2008-12-31,50008,false,"",,,1,,,
50014,ANU,2008-03-17,2009-02-28,50120,false,"",50005,,1,,,
50015,SEM,2008-03-01,2008-08-31,50011,false,"",50004,,1,,,
50016,ANU,2008-02-02,2009-01-31,50012,false,"",,2008-10-01,1,,,
50017,TRI,2008-03-01,2008-05-31,50107,false,"",,,1,,,
50018,ANU,2008-03-01,2009-02-28,50109,false,"",,2009-03-01,1,,,
50019,ANU,2007-05-01,2008-04-30,50014,false,"",,,1,,,
50020,SEM,2007-10-01,2008-03-31,50015,false,"",,,1,,,
50022,ANU,2008-03-17,2009-02-28,50121,false,"",50005,,1,,,
50023,monitoria mensual,2008-01-01,2008-12-31,50001,false,"",50001,,1,,,
50024,ANU,2008-03-01,2009-02-28,50021,false,cheque todo junto 29/2/2008,50001,,1,,,
50025,Anual,2007-12-01,2008-11-30,50005,false,Amex de su papa Xavier,50004,,1,,,
50026,Anual,2008-02-01,2009-01-31,50028,false,"",,2009-01-01,1,,,
50027,Anual,2008-02-01,2009-01-31,50034,false,"",,2008-12-01,1,,,
50028,Anual Vip,2007-10-01,2008-09-30,50037,false,debe 8 meses,,,1,,,
50029,Anual,2008-02-01,2009-01-31,50038,false,"",,,1,,,
50030,anual,2007-04-01,2008-03-31,50044,false,"",,,1,,,
50031,Anual,2007-07-01,2008-06-30,50046,false,"",,,1,,,
50032,Anual,2007-07-01,2008-06-30,50050,false,"",,,1,,,
50033,Anual,2007-09-01,2008-08-31,50057,false,"",,,1,,,
50034,Anual,2008-03-01,2009-02-28,50063,false,"",,2008-12-01,1,,,
50035,Anual,2007-04-01,2008-03-31,50075,false,"",,,1,,,
50036,Anual,2007-09-01,2008-08-31,50078,false,"",,,1,,,
50037,trim,2008-01-01,2008-04-30,50086,false,"",,,1,,,
50038,Anual Vip,2007-12-01,2008-11-30,50087,true,"",,,1,,,
50039,Trim,2007-12-01,2008-02-29,50135,false,"",,,1,,,
50040,Canje,2007-12-01,2008-04-30,50136,false,"",,,1,,,
50041,TRI,2008-04-03,2008-07-03,50142,false,"",50001,,1,,,
50042,anual,2008-02-01,2009-01-31,50023,false,"",50002,,1,,,
